name,aka,oldName,active_start,active_end,operates_in,part_of,affiliated_with,allied_with,designated_terrorist_by
Abdullah Azzam Brigades,,,2009,,"Middle East,Lebanon",,,,"United Nations,New Zealand,UAE,Israel,United Kingdom,United Stated of America"
Abu Nidal Organization,,,,,,,,,
Abu Sayyaf,ASG,,1991,,"Philippines,Malaysia",Islamic State of Iraq and the Levant,,"Maute group,14K Triad,Al-Qaeda",
Aden-Abyan Islamic Army,,,1996,,Yemen,Al-Qaeda Emirate in Yemen,,"AQAP,Ansar al-Sharia,al-Shabaab",
Soldiers of Egypt,,,2013,,Egypt,,,,
Akhil Bharat Nepali Ekta Samaj,,,,,"Northeast India,Uttar Pradesh,Bihar",,,,India
al-Aqsa Foundation,,,1997,,Germany,,,,"United Nations,European Union,Australia,Canada,UAE,United Kingdom,United States of America"
al-Aqsa Martyrs' Brigades,,,2000,,,,,,
Al-Badr,,,,,Saudi Arabia,,,,
al-Jama'a al-Islamiyya,,,1992,1998,"Egypt,Croatia",,,,"Canada,Russia,United States of America,United Kingdom,European Union"
Al Ghurabaa,,,,,,,,,
al-Haramain Foundation,HIF,,1988,2004,Saudi Arabia,,,,United Nations
al-Itihaad al-Islamiya,,,1992,2006,"Kismayo,Somalia,Ogaden",,,Al-Qaeda,
Al-Mourabitoun,,,1957,,Lebanon,,,,
Al-Nusra Front,,Islamic State of Iraq,2012,2017,"Idlib,Syria,Aleppo,Lebanon","Al-Qaeda,Mujahideen Shura Council,Army of Conquest",,"Qatar,Jund al-Aqsa,Turkistan Islamic Party,Caucasus Emirate,Ajnad al-Kavkaz,Malhama Tactical,Ashida'a Mujahideen Brigade,Ansar al-Din Front,Ansar al-Islam,Free Syrian Army",
