name,aka,oldName,active_start,active_end,operates_in_location,operates_in_country,part_of,affiliated_with,allied_with,designated_terrorist_by,wing,ideology,opponent,battles
Abdullah Azzam Brigades,,,2009,,Middle East,Lebanon,,,,United Nations;New Zealand;UAE;Israel;United Kingdom;United Stated of America,,Sunni Islam;Islamic fundamentalism;Salafist jihadism,,
Abu Nidal Organization,,,,,,,,,,,,,,
Abu Sayyaf,ASG,,1991,,,Philippines;Malaysia,Islamic State of Iraq and the Levant,,Maute group;14K Triad;Al-Qaeda,,,Islamism;Islamic fundamentalism,Philippines;Australia;Canada;Indonesia;Japan;Malaysia;United Kingdom;United States of America;Vietnam;Moro National Liberation Front;Moro Islamic Liberation Front,
Aden-Abyan Islamic Army,,,1996,,,Yemen,Al-Qaeda Emirate in Yemen,,AQAP;Ansar al-Sharia;al-Shabaab,,,Salafist jihadism;Islamic fundamentalism,Yemen,Al-Qaeda insurgency in Yemen
Soldiers of Egypt,,,2013,,,Egypt,,,,,,Salafist jihadism,Egypt,
Akhil Bharat Nepali Ekta Samaj,,,,,Uttar Pradesh;Bihar;Northeast India,India,,,,India,,Maoism,,
al-Aqsa Foundation,,,1997,,,Germany,,,,United Nations;European Union;Australia;Canada;UAE;United Kingdom;United States of America,,,,
al-Aqsa Martyrs' Brigades,,,2000,,,,,,,,,Palestinian nationalism;Anti-Zionism;Socialism,,
Al-Badr,,,,,,Saudi Arabia,,,,,,,,
al-Jama'a al-Islamiyya,,,1992,1998,,Egypt;Croatia,,,,Canada;Russia;United States of America;United Kingdom;European Union,,Sunni;Islamism,,
Al Ghurabaa,,,,,,,,,,,,,,
al-Haramain Foundation,HIF,,1988,2004,,Saudi Arabia,,,,United Nations,,,,
al-Itihaad al-Islamiya,,,1992,2006,Kismayo;Ogaden,Somalia,,,Al-Qaeda,,Ogaden,,Transitional Federal Government;Ethiopia;United States of America;Somali Salvation Democratic Front;Isaaq clan;Dhulbahante clan;Absguul clan,
Al-Mourabitoun,,,1957,,,Lebanon,,,,,,Arab nationalism;Nasserism;Anti-imperialism;Pan-Arabism;Arab socialism,,
Al-Nusra Front,,Islamic State of Iraq,2012,2017,Idlib;Aleppo,Syria;Lebanon,Al-Qaeda;Mujahideen Shura Council;Army of Conquest,,Qatar;Jund al-Aqsa;Turkistan Islamic Party;Caucasus Emirate;Ajnad al-Kavkaz;Malhama Tactical;Ashida'a Mujahideen Brigade;Ansar al-Din Front;Ansar al-Islam;Free Syrian Army,,,Salafism;Wahhabism;Salafist jihadism,Syria;Lebanon;Iran;Russia;Iraq;United States of America;Syrian Democratic Forces;People's Protection Units;Army of Revolutionaries;Free Syrian Army;Ahrar al-Sham;Suqour al-Sham Brigade;Hezbollah;Kata'ib Hezbollah;Asa'ib Ahl al-Haq;Al-Abbas brigade;Kata'ib Sayyid al-Shuhada;Harakat Hezbollah al-Nujaba;Houthis;Islamic State and Islamic State affiliates;Islamic State of Iraq and the Levant;Yarmouk Martyrs Brigade;Jaysh al-Jihad;Islamic Muthanna Movement,Syrian Civil War;Battle of Aleppo;Siege of Nubl and Al-Zahraa;Operation al-Shabah;2013 Latakia offensive;Inter-rebel conflict during the Syrian Civil War;2014 Idlib offensive;al-Nusra Front-Syria Revolutionaries Front conflict;2015 Idlib offensive;Second Battle of Idlib;Siege of al-Fu'ah and Kafriya;Battle of Bosra;2015 Jisr al-Shughur offensive;Battle of Yarmouk Camp;Qalamoun offensive;Battle of Zabadani;2015 Hama Offensive;Northern Aleppo offensive;Idlib Governorate clashes;Syrian Civil War spillover in Lebanon;Battle of Arsal;Military intervention against ISIL;American-led intervention in Syria;Russian military intervention in Syria
Al-Qaeda,,,1988,,Middle East,Somalia;Syria;Yemen,,,Saudi Arabia;Qatar;Taliban;Tehrik-i-Taliban Pakistan;Islamic Movement of Uzbekistan;Turkistan Islamic Party;Lashkar-e-Taiba;Caucasus Emirate;Haqqani network;Jaish-e-Mohammed;Jemaah Islamiyah;Egyptian Islamic Jihad,,Al-Qaeda Central;Al-Qaeda in Iraq;Mujahideen Shura Council;Islamic State of Iraq;Islamic State of Iraq and the Levant;Al-Qaeda in the Islamic Maghreb;Al-Qaeda in Palestine;Al-Qaeda in the Arabian Peninsula;Al-Qaeda in Somalia;Al-Qaeda in the Levant;Tahrir al-Sham;Al-Mourabitoun;Jund al-Aqsa;Al-Qaeda in the Indian Subcontinent;Khorasan Group;Al-Qaeda in Sinai Peninsula;Imam Shamil Battalion;Guardians of Religion Organization;Al-Qaeda Kurdish Battalions;Al Qaeda in the Lands Beyond the Sahel;Al-Qaeda in Bosnia and Herzegovina;Al-Qaeda in Mali;Al-Qaeda in Spain;Al-Qaeda in the Malay Archipelago,Wahhabism;Salafist jihadism;Qutbism;Pan-Islamism;Anti-Communism;Anti-Zionism;Antisemitism,NATO;ISAF;United States of America;United Kingdom;France;Russia;China;Islamic State of Iraq and the Levant;Hezbollah;Hamas;Houthis;Southern Movement,Afghan Civil War;War in Afghanistan;Civil war in Tajikistan;Second Chechen War;al-Qaeda insurgency in Yemen;Yemeni Civil War;Maghreb insurgency;Northern Mali conflict;Iraq War;Iraqi insurgency;War in North-West Pakistan;Balochistan conflict;Somali Civil War;War in Somalia;Syrian Civil War;Military intervention against ISIL;American-led intervention in Syria;Sinai insurgency;Egyptian Crisis
Al-Qaeda in the Arabian Peninsula,,,2009,,Mukalla;Wadi Belharith;Azzan;Wadi Obaidah;Rada'a District;Mudiyah;Lawdar,Yemen,Al-Qaeda,,Qatar;al-Shabaab;Al-Qaeda in the Islamic Maghreb;Al-Qaeda in the Indian Subcontinent;Al-Nusra Front;Khorasan,,,Salafism;Salafist jihadism;Anti-Zionism;Antisemitism;Qutbism,Yemen;Saudi Arabia;United Arab Emirates;United Kingdom;United States of America;NATO;Houthis;Southern Movement;Islamic State of Iraq and the Levant - Yemen Province,Yemeni Insurgency;Operation Blow to the Head;Battle of Zinjibar;Siege of Dammaj;Battle of Dofas;First Battle of Lawdar;Battle of Radda;2012 Abyan offensive;2012 Sana'a bombing;2013 Sana'a attack;Al Bayda Clashes;Al Bayda Governorate clashes;Yemeni Civil War;Siege of Al Bayda Governorate;Battle of Mukalla;Battle of Mukalla;Hadramaut Insurgency;Abyan campaign;Al Bayda Offensive;Fall of Zinjibar and Jaar;Southern Abyan Offensive;Battle of Taiz;Aden unrest;Shabwah Governorate offensive;Abyan conflict;2017 Yakla raid;Al Hathla raid
Al-Qaeda in the Indian Subcontinent,,,2014,,,India,Al-Qaeda,,Pakistan;Tehrik-i-Taliban Pakistan;Caucasus Emirate;Al-Qaeda in the Arabian Peninsula;Al-Shabaab;Lashkar-e-Taiba;Muslim United Liberation Tigers of Assam,,,,India;Bangladesh;Myanmar;United States;UNLFW;CorCom,
